State,Name,City,Latitude,Longitude,Type,Revenue,Info
Iowa,Blue Hyll Dairy,Clinton,41.8444,-90.1879,Cattle,0.99,
Iowa,"Roorda Dairy, LLC",Paullina,42.9104,-95.7494,Cattle,0.98,
Ohio,Falcon Packaging,Greenville,40.102,-84.633,Packaging,,
Iowa,Falcon Packaging,Ames,42.0347,-93.62,Packaging,,
Georgia,Falcon Packaging,Flowery Branch,34.1857,-83.9252,Packaging,,
Pennsylvania,Falcon Packaging,York,39.9526,-76.7277,Packaging,,
Iowa,Iowa Egg Cartons,West Burlington,40.8259,-91.1568,Packaging,,
Illinois,Tek Pak Inc.,St. Charles,41.904,-88.3087,Packaging,,"Specializes in thermoforming for electronics, healthcare, and food industries."
Illinois,"CS Packaging, Inc.",Elk Grove Village,42.0039,-87.9703,Packaging,,Provides custom packaging solutions including corrugated boxes and packaging supplies.
Illinois,"Assemblies Unlimited, Inc.",Bloomingdale,41.957,-88.0806,Packaging,,Provides contract packaging and fulfillment services for various industries.
Michigan,Wynalda Packaging,Belmont,43.077,-85.5914,Packaging,,Provides custom packaging solutions including folding cartons and retail displays.
Illinois,Fluid Air Inc.,Naperville,41.8017,-88.2021,Spray Drying,,Low temperature spray drying technology (PolarDry)
Wisconsin,GEA Process Engineering Inc.,Hudson,44.9747,-92.7296,Spray Drying,,"Pharmaceutical Spray Dryer, PHARMASD™ (PSD)"
Georgia,Elan Technology,Midway,31.8055,-81.4131,Spray Drying,,Largest independent contract spray dryer in US
Michigan,Van Elderen Inc.,Martin,42.487,-85.6425,Spray Drying,,"Specializes in spray dried animal protein products and dried fruit and vegetable ingredients, location in Iowa too"
Illinois,Spraying Systems Co.,Glendale Heights,41.915,-88.074,Spray Drying,,Has focus on sustainability
Illinois,Dedert Corporation,Homewood,41.561,-87.664,Spray Drying,,
Indiana,Strauss Feeds,North Manchester,41.0,-85.77,Spray Drying,,Focus on animal feeds with specialization on infant animals
Minnesota,EnviroStar LLC,Waite Park,45.5572,-94.2242,Spray Drying,,
Wisconsin,Spray-Tek,Beloit,42.5083,-89.0318,Spray Drying,,Variety of products
Iowa,AVEKA,Waukon,43.268,-91.475,Spray Drying,,Nutraceuticals
Iowa,A to Z Drying,Osage,43.2843,-92.8127,Spray Drying,,
Illinois,Thermaseal / Lakeside Insulation,Cary,42.2153,-88.2413,Insulation,,Insulation contractor serving the Chicago area.
Illinois,SWAN Biomass Company,Downers Grove,41.8089,-88.0112,Other,,Partnership between Amoco Ethanol Development Corporation and Stone and Webster Engineering Industrial Technology Corporation.
New Jersey,Naturex,South Hackensack,40.8668,-74.0503,Other,,"Manufactures natural specialty ingredients for the Food & Beverage, Nutrition & Health, and Personal Care industries."
Illinois,Novonesis,Franklin,42.0884,-88.2546,Other,,Biotechnology company formed from the merger of Novozymes and Chr. Hansen.
Illinois,Terraplex AG,Chicago,41.8781,-87.6298,Other,,Agricultural technology company focusing on sustainable solutions.
Illinois,Illiana Insulation Inc.,Cissna Park,40.5667,-87.8934,Insulation,,Insulation contractor serving residential and commercial clients.
Iowa,Ag Ventures Alliance Cooperative,Mason City,43.1536,-93.201,Other,,Midwest farm cooperative focusing on agricultural innovation and investment.
